Task,Title,index,label,confidence
Act as advisers to student organizations.,"Communications Teachers, Postsecondary Chemistry Teachers, Postsecondary Geography Teachers, Postsecondary Political Science Teachers, Postsecondary Psychology Teachers, Postsecondary Sociology Teachers, Postsecondary Health Specialties Teachers, Postsecondary Nursing Instructors and Teachers, Postsecondary Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary Education Teachers, Postsecondary Library Science Teachers, Postsecondary Criminal Justice and Law Enforcement Teachers, Postsecondary Law Teachers, Postsecondary Social Work Teachers, Postsecondary Art, Drama, and Music Teachers, Postsecondary Economics Teachers, Postsecondary Area, Ethnic, and Cultural Studies Teachers, Postsecondary Anthropology and Archeology Teachers, Postsecondary Physics Teachers, Postsecondary Mathematical Science Teachers, Postsecondary Computer Science Teachers, Postsecondary Architecture Teachers, Postsecondary Business Teachers, Postsecondary Engineering Teachers, Postsecondary Agricultural Sciences Teachers, Postsecondary Environmental Science Teachers, Postsecondary Recreation and Fitness Studies Teachers, Postsecondary Biological Science Teachers, Postsecondary Family and Consumer Sciences Teachers, Postsecondary Philosophy and Religion Teachers, Postsecondary English Language and Literature Teachers, Postsecondary Foreign Language and Literature Teachers, Postsecondary History Teachers, Postsecondary Forestry and Conservation Science Teachers, Postsecondary",26,E0,high
"Act as agent, trustee, guardian, or executor for businesses or individuals.",Lawyers,27,E0,high
Act as an advocate for farmers or farmers' groups.,Farm and Home Management Educators,28,E0,high
Act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,Real Estate Brokers,29,E0,high
"Act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",Real Estate Sales Agents,30,E0,high
Act as client advocates to coordinate required services or to resolve emergency problems in crisis situations.,Mental Health Counselors,31,E0,high
"Act as consultants to agency staff and other community programs regarding the interpretation of program-related federal, state, and county regulations and policies.",Social and Community Service Managers,32,E2,moderate
Act as liaison with physicist and supportive care personnel.,Radiation Therapists,33,E0,high
Act as liaisons between clients and medical staff.,Substance Abuse and Behavioral Disorder Counselors,34,E2,moderate
Act as liaisons between engineering and production departments.,Media Technical Directors/Managers,35,E0,high
Act as liaisons between minority placement agencies and employers or between job search committees and other equal opportunity administrators.,Equal Opportunity Representatives and Officers,36,E0,high
Act as liaisons between on-site managers or tenants and owners.,"Property, Real Estate, and Community Association Managers",37,E2,moderate
"Act as liaisons between ships' captains and shore personnel to ensure that schedules and budgets are maintained, and that ships are operated safely and efficiently.",Marine Engineers and Naval Architects,38,E0,moderate
Act as oversight or security agents for management or customers.,Gambling Surveillance Officers and Gambling Investigators,39,E0,high
Act as pallbearers.,Funeral Attendants,40,E0,high
"Act as part of the security team at transportation terminals, hotels, or similar establishments.",Baggage Porters and Bellhops,41,E0,high
"Activate agitators and paddles to mix or stir ingredients, stopping machines when ingredients are thoroughly mixed.",Food Cooking Machine Operators and Tenders,42,E0,high
"Activate and adjust machine controls to regulate temperature and pressure of rollers, ironing shoes, or plates, according to specifications.","Pressers, Textile, Garment, and Related Materials",43,E0,high
Activate bead setters that press prefabricated beads onto plies.,Tire Builders,44,E0,high
"Activate emergency action plans and administer first aid, as necessary.","Locker Room, Coatroom, and Dressing Room Attendants",45,E0,high
Activate fluoroscope and camera to produce images used to guide catheter through cardiovascular system.,Cardiovascular Technologists and Technicians,46,E0,high
Activate fuel pumps and fill fuel tanks of vehicles with gasoline or diesel fuel to specified levels.,Automotive and Watercraft Service Attendants,47,E0,high
"Activate machine start-up switches to grind, lap, hone, debar, shear, or cut workpieces, according to specifications.","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",48,E0,high
"Activate machines to shape or form products, such as candy bars, light bulbs, balloons, or insulation panels.","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",49,E0,high
Activate mechanical rakes to regulate flow of ice from storage bins to vats.,Cooling and Freezing Equipment Operators and Tenders,50,E0,high
Activate photovoltaic (PV) systems to verify system functionality and conformity to performance expectations.,Solar Photovoltaic Installers,51,E0,high
"Activate scanners to produce positive or negative films for the black-and-white, cyan, yellow, and magenta separations from each original copy.",Prepress Technicians and Workers,52,E0,high
Activate shears and grinders to trim workpieces.,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",53,E0,high
"Activate valves to maintain required amounts of water in boilers, to adjust supplies of combustion air, and to control the flow of fuel into burners.",Stationary Engineers and Boiler Operators,54,E0,high
Adapt existing or develop new music therapy assessment instruments or procedures to meet an individual client's needs.,Music Therapists,55,E2,moderate
Adapt instructional content or delivery methods for different levels or types of learners.,Instructional Coordinators,56,E2,moderate
Adapt instructional techniques to the age and skill levels of students.,Adapted Physical Education Specialists,57,E0,high
Adapt or design computer hardware or software for medical science uses.,Bioengineers and Biomedical Engineers,58,E2,moderate
Adapt other designers' ideas for the mass market.,Fashion Designers,59,E2,moderate
Adapt software and accompanying technical documents to another language and culture.,Interpreters and Translators,60,E2,moderate
"Adapt statistical methods to solve specific problems in many fields, such as economics, biology, and engineering.",Statisticians,61,E2,moderate
Adapt teaching methods and instructional materials to meet students' varying needs and interests.,"Career/Technical Education Teachers, Middle School Self-Enrichment Teachers Secondary School Teachers, Except Special and Career/Technical Education Preschool Teachers, Except Special Education Middle School Teachers, Except Special and Career/Technical Education Elementary School Teachers, Except Special Education",62,E2,moderate
"Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",63,E0,high
Adapt text to accommodate musical requirements of composers and singers.,"Poets, Lyricists and Creative Writers",64,E1,high
Adapt the quantity of ingredients to match the amount of items to be baked.,Bakers,65,E1,high
"Adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",Interpreters and Translators,66,E1,high
Add chemicals and solutions to tanks to ensure that specifications are met.,"Pump Operators, Except Wellhead Pumpers",67,E0,high
Add chemicals or materials to workpieces or machines to facilitate bonding or to cool workpieces.,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",68,E0,high
"Add chemicals, solutions, or ingredients to machines or equipment as required by the manufacturing process.",Machine Feeders and Offbearers,69,E1,high
"Add chemicals, such as ammonia, chlorine, or lime, to disinfect and deodorize water and other liquids.",Water and Wastewater Treatment Plant and System Operators,70,E0,high
"Add cutlery, napkins, food, and other items to trays on assembly lines in hospitals, cafeterias, airline kitchens, and similar establishments.",Food Preparation Workers,71,E0,high
Add dimensional details to blueprints or drawings made by other workers.,"Layout Workers, Metal and Plastic",72,E2,moderate
"Add dyes, water, detergents, or chemicals to tanks to dilute or strengthen solutions, according to established formulas and solution test results.",Textile Bleaching and Dyeing Machine Operators and Tenders,73,E1,high
"Add ink, fill paste reservoirs, and change machine ribbons when necessary.","Mail Clerks and Mail Machine Operators, Except Postal Service",74,E0,high
Add metal to molds to compensate for shrinkage.,"Pourers and Casters, Metal",75,E0,high
Add new material to file records or create new records as necessary.,File Clerks,76,E1,high
"Add or mix chemicals and ingredients for processing, using hand tools or other devices.","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",77,E0,high
"Add or mix chemicals or ingredients for processing, using hand tools or other devices.","Mixing and Blending Machine Setters, Operators, and Tenders",78,E0,high
"Add radioactive substances to biological specimens, such as blood, urine, or feces, to determine therapeutic drug or hormone levels.",Nuclear Medicine Technologists,79,E0,high
"Add relishes and garnishes to food orders, according to instructions.",Fast Food and Counter Workers,80,E0,high
Add specified amounts of chemicals to equipment at required times to maintain solution levels and concentrations.,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",81,E0,high
"Add treating or neutralizing agents to products, and pump products through filters or centrifuges to remove impurities or to precipitate products.",Chemical Equipment Operators and Tenders,82,E0,high
Add water or acid to battery cell solutions to obtain specified concentrations.,"Electric Motor, Power Tool, and Related Repairers",83,E0,high
"Address community groups, faculty, and staff members to explain available counseling services.","Educational, Guidance, and Career Counselors and Advisors",84,E1,high
"Address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",Human Resources Specialists,85,E0,high
"Address envelopes or prepare envelope labels, using typewriter or computer.",Word Processors and Typists,86,E0,high
"Address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.","Child, Family, and School Social Workers",87,E0,high
Address public audiences to explain program objectives and to elicit support.,Instructional Coordinators,88,E0,high
"Address schools, civic groups, sporting clubs, or the media to disseminate information concerning wildlife conservation and regulations.",Fish and Game Wardens,89,E2,moderate
"Address special issues or situations, such as illegal or unauthorized use of equipment, or cases of electrical or acoustic shock.","Telecommunications Equipment Installers and Repairers, Except Line Installers",90,E0,high
"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",Mathematicians,91,E2,moderate
"Adhere to all applicable regulations, policies, and procedures for health, safety, and environmental compliance.",Industrial Engineering Technologists and Technicians,92,E0,high
Adhere to legal policies and procedures related to handling digital media.,Digital Forensics Analysts,93,E2,moderate
"Adhere to local, state, and federal laws, regulations, and statutes.",Acupuncturists,94,E2,moderate
"Adhere to safety practices and procedures, such as checking equipment regularly and erecting barriers around work areas.",Electrical Power-Line Installers and Repairers,95,E0,high
Adhere to schedules to keep events running on time.,"Disc Jockeys, Except Radio",96,E0,high
Adjust air cylinders and setting stops to set traverse lengths and feed arm strokes.,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",97,E2,moderate
"Adjust and correct machine set-ups to reduce thicknesses, reshape products, and eliminate product defects.","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",98,E0,high
"Adjust and maintain industrial machinery, using control and regulating devices.","Mobile Heavy Equipment Mechanics, Except Engines",99,E0,high
"Adjust and maintain operating room temperature, humidity, or lighting, according to surgeon's specifications.",Surgical Assistants,100,E0,high
"Adjust and operate surveying instruments such as prisms, theodolites, electronic distance measuring equipment, or electronic data collectors.",Surveying and Mapping Technicians,101,E0,high
"Adjust and reline brakes, align wheels, tighten bolts and screws, and reassemble equipment.",Bus and Truck Mechanics and Diesel Engine Specialists,102,E0,high
Adjust and repair assistive devices and make adaptive changes to other equipment and to environments.,Occupational Therapy Aides,103,E0,high
"Adjust and repair coin, vending, or amusement machines and meters and replace defective mechanical and electrical parts, using hand tools, soldering irons, and diagrams.","Coin, Vending, and Amusement Machine Servicers and Repairers",104,E0,high
"Adjust apertures, shutter speeds, and camera focus according to a combination of factors, such as lighting, field depth, subject motion, film type, and film speed.",Photographers,105,E0,high
"Adjust bolts, clamps, stops, guides, or table angles or heights, using hand tools.","Sawing Machine Setters, Operators, and Tenders, Wood",106,E0,high
"Adjust cameras, photographic mechanisms, or equipment such as range and view finders, shutters, light meters, or lens systems, using hand tools.",Camera and Photographic Equipment Repairers,107,E0,high
"Adjust carburetor mixtures, electrical point settings, or timing while motors are running in water-filled test tanks.",Motorboat Mechanics and Service Technicians,108,E0,high
"Adjust coaching techniques, based on the strengths and weaknesses of athletes.",Coaches and Scouts,109,E2,moderate
"Adjust controls and/or valves on equipment to provide power, and to regulate and set operations of system or industrial processes.",Stationary Engineers and Boiler Operators,110,E0,high
"Adjust controls of equipment to control particle beam movement, pulse rates, energy or intensity, or radiation, according to specifications.",Nuclear Technicians,111,E0,high
"Adjust controls of machines that spread, shape, raise, level, or align track, according to specifications.",Rail-Track Laying and Maintenance Equipment Operators,112,E0,high
"Adjust controls on infrared ovens, heat lamps, portable ventilators, or exhaust units to speed the drying of surfaces between coats.","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",113,E0,moderate
Adjust controls to draw or press metal into specified shapes and diameters.,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",114,E0,high
Adjust controls to generate specified electrical power or to regulate the flow of power between generating stations and substations.,Power Plant Operators,115,E0,high
"Adjust controls to guide, position, or move equipment, such as cranes, booms, or cameras.","Laborers and Freight, Stock, and Material Movers, Hand",116,E0,high
Adjust controls to maintain specific building temperatures required for animals' health and safety.,Animal Breeders,117,E2,moderate
"Adjust controls to maintain temperatures and heating times, using thermal instruments and charts, dials and gauges of furnaces, and color of stock in furnaces to make setting determinations.","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",118,E0,high
"Adjust controls to position rod and to regulate flux level, reactor period, coolant temperature, or rate of power flow, following standard procedures.",Nuclear Power Reactor Operators,119,E0,high
"Adjust controls to regulate air-conditioning, heating, and lighting on trains for comfort of passengers.","Railroad Brake, Signal, and Switch Operators and Locomotive Firers",120,E0,high
"Adjust controls to regulate specified temperature and humidity of animal quarters, nurseries, or exhibit areas.",Animal Caretakers,121,E0,high
"Adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes.",Chemical Equipment Operators and Tenders,122,E0,high
Adjust controls to set temperatures of coating substances and speeds of machines and equipment.,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",123,E0,high
Adjust cutting techniques to types of fabrics and styles of garments.,"Textile Cutting Machine Setters, Operators, and Tenders",124,E0,high
Adjust dental appliances to produce and maintain normal function.,Orthodontists,125,E0,high
"Adjust depths and sizes of cuts by adjusting heights of worktables, or by adjusting machine-arm gauges.",Etchers and Engravers,126,E0,high
Adjust dials to regulate flow of current and voltage supplied to terminals to control plating processes.,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",127,E0,high
Adjust dig face angles for varying overburden depths and set lengths.,"Excavating and Loading Machine and Dragline Operators, Surface Mining",128,E0,high
"Adjust digital files to alter print elements, such as fonts, graphics, or color separations.",Printing Press Operators,129,E2,moderate
"Adjust doors to open or close with the correct amount of effort, or make simple adjustments to electric openers.",Mechanical Door Repairers,130,E0,high
Adjust equipment and controls according to physicians' orders or established protocol.,Cardiovascular Technologists and Technicians,131,E0,high
"Adjust equipment and workpiece holding fixtures, such as mold frames, tubs, and cutting tables, to ensure proper functioning.","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",132,E0,high
Adjust equipment controls to generate specified amounts of electrical power.,Biomass Power Plant Managers,133,E0,high
"Adjust equipment controls to maintain specified heat, tension, and speed.",Textile Bleaching and Dyeing Machine Operators and Tenders,134,E0,high
Adjust equipment to optimize viewing of the nervous system.,Neurodiagnostic Technologists,135,E0,high
"Adjust felt hammers on pianos to increase tonal mellowness or brilliance, using sanding paddles, lacquer, or needles.",Musical Instrument Repairers and Tuners,136,E0,high
"Adjust functional parts of devices or control instruments, using hand tools, levels, plumb bobs, or straightedges.","Maintenance and Repair Workers, General",137,E0,high
"Adjust generators and replace faulty wiring, using hand tools and soldering irons.",Motorboat Mechanics and Service Technicians,138,E0,high
"Adjust guide assemblies, forming bars, and folding mechanisms according to specifications, using hand tools.","Paper Goods Machine Setters, Operators, and Tenders",139,E0,high
Adjust guides and stops to control depths and widths of cuts.,"Cutters and Trimmers, Hand",140,E2,moderate
"Adjust guides, rollers, loose card inserters, weighing machines, and tying arms, using rules and hand tools.","Mail Clerks and Mail Machine Operators, Except Postal Service",141,E0,high
"Adjust handwheels and depress pedals to control attachments, such as blades, buckets, scrapers, or swing booms.",Operating Engineers and Other Construction Equipment Operators,142,E0,high
Adjust ink fountain flow rates.,Printing Press Operators,143,E0,high
Adjust inventory records to reflect product movement.,Order Clerks,144,E1,high
Adjust lenses and frames to correct alignment.,Ophthalmic Laboratory Technicians,145,E0,high
"Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required.",Adhesive Bonding Machine Operators and Tenders,146,E0,high
Adjust machine components and machine tension and pressure according to size or processing angle of product.,Packaging and Filling Machine Operators and Tenders,147,E0,high
"Adjust machine components to regulate speeds, pressures, and temperatures, and amounts, dimensions, and flow of materials or ingredients.","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",148,E0,high
Adjust machine controls and change tool settings to keep dimensions within specified tolerances.,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",149,E2,moderate
"Adjust machine controls to alter position, alignment, speed, or pressure.","Cutting and Slicing Machine Setters, Operators, and Tenders",150,E0,high
"Adjust machine controls, such as heating mechanisms, tensions, or speeds, to produce specified products.","Textile Cutting Machine Setters, Operators, and Tenders",151,E0,high
"Adjust machine feed and speed, change cutting tools, or adjust machine controls when automatic programming is faulty or if machines malfunction.",Computer Numerically Controlled Tool Operators,152,E2,moderate
"Adjust machine heating mechanisms, tensions, and speeds to produce specified products.","Textile Knitting and Weaving Machine Setters, Operators, and Tenders",153,E0,high
Adjust machine or freezer speed and air intake to obtain desired consistency and amount of product.,Cooling and Freezing Equipment Operators and Tenders,154,E0,high
Adjust machine pressure gauges and thermostats.,"Coin, Vending, and Amusement Machine Servicers and Repairers",155,E0,high
Adjust machine settings such as speed or tension to produce products that meet specifications.,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",156,E0,high
Adjust machine tables or cutting devices and set controls on machines to produce specified cuts or operations.,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",157,E0,high
Adjust network sizes to meet volume or capacity demands.,Computer Network Architects,158,E2,moderate
"Adjust or align headlights, wheels, and brake systems.",Automotive Body and Related Repairers,159,E0,high
"Adjust or maintain equipment, such as lasers, laser systems, microscopes, oscilloscopes, pulse generators, power meters, beam analyzers, or energy measurement devices.",Photonics Technicians,160,E0,high
Adjust or make minor repairs to spectacles or eyeglasses.,Ophthalmic Medical Technicians,161,E0,high
Adjust or modify equipment to enhance equipment performance or to respond to customer requests.,"Telecommunications Equipment Installers and Repairers, Except Line Installers",162,E0,high
Adjust or repair computer controlled exhaust emissions devices.,Bus and Truck Mechanics and Diesel Engine Specialists,163,E2,moderate
"Adjust or repair testing, electrical, or mechanical equipment or devices.","Geological Technicians, Except Hydrologic Technicians",164,E2,moderate
"Adjust or replace equipment parts, such as rollers, belts, plugs, or caps, using hand tools.","Laborers and Freight, Stock, and Material Movers, Hand",165,E0,high
"Adjust or replace webbing, padding, or springs, and secure them in place.",Upholsterers,166,E0,high
"Adjust points, valves, carburetors, distributors, and spark plug gaps, using feeler gauges.",Outdoor Power Equipment and Other Small Engine Mechanics,167,E0,high
"Adjust positions and controls of cameras, printers, and related equipment to change focus, exposure, and lighting.","Camera Operators, Television, Video, and Film",168,E0,high
Adjust power production systems to meet load and distribution demands.,Geothermal Technicians,169,E0,high
"Adjust pressures, temperatures, and trimming tool settings as required.","Potters, Manufacturing",170,E0,moderate
"Adjust ram strokes of presses to specified lengths, using hand tools.","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",171,E0,high
"Adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines.",Remote Sensing Technicians,172,E2,moderate
Adjust repaired or replaced units as needed to ensure proper operation.,Rail Car Repairers,173,E0,high
Adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies.,"Claims Adjusters, Examiners, and Investigators",174,E2,moderate
"Adjust safety controls, counterweights, door mechanisms, and components such as valves, ratchets, seals, and brake linings.",Elevator and Escalator Installers and Repairers,175,E0,high
Adjust sales scripts to better target the needs and interests of specific individuals.,Telemarketers,176,E1,high
"Adjust saw blades, using wrenches and rulers, or by turning handwheels or pressing pedals, levers, or panel buttons.","Sawing Machine Setters, Operators, and Tenders, Wood",177,E0,high
"Adjust sensitivity of units, based on room structures and manufacturers' recommendations, using programming keypads.",Security and Fire Alarm Systems Installers,178,E0,high
"Adjust settings for format, page layout, line spacing, and other style requirements.",Word Processors and Typists,179,E1,high
"Adjust settings on patients' assistive devices, such as temporary pacemakers.",Acute Care Nurses,180,E0,high
"Adjust sizes or positioning of timepiece parts to achieve specified fit or function, using calipers, fixtures, and loupes.",Timing Device Assemblers and Adjusters,181,E0,high
"Adjust string tensions to tune instruments, using hand tools and electronic tuning devices.",Musical Instrument Repairers and Tuners,182,E0,high
Adjust surveying instruments to maintain their accuracy.,Surveyors,183,E0,high
Adjust system controls to settings recommended by manufacturer to balance system.,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",184,E0,high
"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.",Biofuels Production Managers,185,E0,high
"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of gas to maintain processes at required levels or to correct problems.",Gas Plant Operators,186,E0,high
"Adjust timing regulators, using truing calipers, watch-rate recorders, and tweezers.",Watch and Clock Repairers,187,E0,high
Adjust valves and equipment to obtain specified performance.,Gas Compressor and Gas Pumping Station Operators,188,E0,moderate
Adjust wheel speeds according to the feel of the clay as pieces enlarge and walls become thinner.,"Potters, Manufacturing",189,E0,high
Adjust window shades or seat cushions at the request of passengers.,Passenger Attendants,190,E0,high
"Adjust working parts, such as fan belts, contacts, and springs, using hand tools and gauges.","Electric Motor, Power Tool, and Related Repairers",191,E0,high
"Adjust, clean, and lubricate mechanical parts of machines, using hand tools and grease guns.","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",192,E0,high
"Adjust, clean, or repair products or processing equipment to correct defects found during inspections.","Inspectors, Testers, Sorters, Samplers, and Weighers",193,E0,high
"Adjust, connect, or disconnect wiring, piping, tubing, and other parts, using hand or power tools.","Helpers--Installation, Maintenance, and Repair Workers",194,E0,high
"Adjust, maintain, and repair or replace subassemblies, such as transmissions and crawler heads, using hand tools, jacks, and cranes.","Mobile Heavy Equipment Mechanics, Except Engines",195,E0,high
"Adjust, maintain, and repair tools, equipment, and machines, and assist more skilled workers with similar tasks.","Helpers--Installation, Maintenance, and Repair Workers",196,E0,high
"Adjust, maintain, or repair laboratory equipment, such as microscopes.",Cytotechnologists,197,E0,high
"Adjust, repair, and service farm machinery and notify supervisors when machinery malfunctions.",Agricultural Equipment Operators,198,E2,moderate
"Adjust, repair, or replace defective wiring and relays in ignition, lighting, air-conditioning, and safety control systems, using electrician's tools.","Electrical and Electronics Installers and Repairers, Transportation Equipment",199,E0,high
"Adjust, repair, or replace electrical or electronic components to correct defects and to ensure conformance to specifications.",Electrical and Electronic Equipment Assemblers,200,E0,high
"Adjust, repair, or replace faulty components of test setups and equipment.",Aerospace Engineering and Operations Technologists and Technicians,201,E0,high
"Adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",Avionics Technicians,202,E0,high
"Adjust, repair, rework, or replace parts or assemblies to ensure proper operation.","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",203,E0,high
"Administer active or passive manual therapeutic exercises, therapeutic massage, aquatic physical therapy, or heat, light, sound, or electrical modality treatments, such as ultrasound.",Physical Therapist Assistants,204,E0,high
"Administer active or passive manual therapeutic exercises, therapeutic massage, or heat, light, sound, water, or electrical modality treatments, such as ultrasound.",Physical Therapist Aides,205,E0,high
"Administer and score applicant and employee aptitude, personality, and interest assessment instruments.","Human Resources Assistants, Except Payroll and Timekeeping",206,E0,moderate
"Administer anesthesia to animals, under the direction of a veterinarian, and monitor animals' responses to anesthetics so that dosages can be adjusted.",Veterinary Technologists and Technicians,207,E0,high
"Administer anesthetic or sedation during medical procedures, using local, intravenous, spinal, or caudal methods.",Anesthesiologists,208,E0,high
"Administer anesthetic, adjuvant, or accessory drugs under the direction of an anesthesiologist.",Anesthesiologist Assistants,209,E0,high
Administer anesthetics during surgery and monitor the effects on animals.,Veterinary Assistants and Laboratory Animal Caretakers,210,E0,high
Administer anesthetics to limit the amount of pain experienced by patients during procedures.,"Dentists, General",211,E0,high
"Administer basic hearing tests including air conduction, bone conduction, or speech audiometry tests.",Hearing Aid Specialists,212,E2,moderate
"Administer bedside or personal care, such as ambulation or personal hygiene assistance.",Personal Care Aides,213,E0,high
"Administer blood and blood product transfusions or intravenous infusions, monitoring patients for adverse reactions.",Acute Care Nurses,214,E0,high
"Administer blood and blood products, monitoring patients for signs and symptoms related to transfusion reactions.",Critical Care Nurses,215,E0,high
"Administer blood, blood products, or supportive fluids.",Anesthesiologist Assistants,216,E0,high
"Administer compensation, benefits, and performance management systems, and safety and recreation programs.",Human Resources Managers,217,E0,high
Administer construction contracts.,"Architects, Except Landscape and Naval",218,E2,moderate
Administer document and system access rights and revision control to ensure security of system and integrity of master documents.,Document Management Specialists,219,E0,high
"Administer drug and alcohol tests, including random drug screens of offenders, to verify compliance with substance abuse treatment programs.",Probation Officers and Correctional Treatment Specialists,220,E0,high
"Administer drugs, orally or by injection, or perform intravenous procedures.",Paramedics,221,E0,high
"Administer emergency cardiac care for life-threatening heart problems, such as cardiac arrest and heart attack.",Cardiologists,222,E0,high
"Administer emergency first aid, such as performing emergency resuscitation or other life saving procedures.",Veterinary Technologists and Technicians,223,E0,high
"Administer emergency first aid, wrap injuries, treat minor chronic disabilities, or refer injured persons to physicians.",Exercise Trainers and Group Fitness Instructors,224,E0,high
Administer employee benefit plans.,Human Resources Specialists,225,E0,moderate
"Administer employee insurance, pension, and savings plans, working with insurance brokers and plan carriers.","Compensation, Benefits, and Job Analysis Specialists",226,E1,moderate
Administer first aid according to prescribed procedures and notify emergency medical personnel when necessary.,Recreation Workers,227,E0,high
Administer first aid and cardiopulmonary resuscitation to injured persons or provide emergency medical care such as basic or advanced life support.,Firefighters,228,E0,high
